1744243200000000,82615.22000000,82662.27000000,82532.44000000,82603.49000000,141.82070000,1744243499999999,11712319.80050380,13534,74.82552000,6178665.48460360,0
1744243500000000,82603.48000000,82753.21000000,82535.69000000,82535.70000000,141.69622000,1744243799999999,11713781.78269170,11408,113.36022000,9372308.70885550,0
1744243800000000,82535.70000000,82544.81000000,82457.55000000,82479.99000000,228.33253000,1744244099999999,18836676.05454710,7966,69.02933000,5693910.06149960,0
1744244100000000,82479.98000000,82616.79000000,82382.89000000,82463.98000000,95.19600000,1744244399999999,7851964.46490630,9227,36.74668000,3031239.06398730,0
1744244400000000,82463.99000000,82463.99000000,82357.61000000,82387.59000000,67.28824000,1744244699999999,5544345.90373370,8288,24.13524000,1988333.12097520,0
1744244700000000,82387.58000000,82492.78000000,82351.54000000,82414.73000000,137.92254000,1744244999999999,11366805.22291770,11701,89.47453000,7374134.01737470,0
1744245000000000,82414.73000000,82484.94000000,82332.07000000,82448.05000000,130.58346000,1744245299999999,10760918.38121470,16902,90.88955000,7489715.92190420,0
1744245300000000,82448.05000000,82485.76000000,82277.04000000,82284.52000000,116.06036000,1744245599999999,9558177.57657700,18083,59.32876000,4886155.24445450,0
1744245600000000,82284.52000000,82284.66000000,82056.19000000,82147.83000000,228.01353000,1744245899999999,18733251.00576640,20601,117.46937000,9651451.53624650,0
1744245900000000,82147.84000000,82274.81000000,82096.00000000,82119.39000000,109.01604000,1744246199999999,8959937.80838900,17625,82.39888000,6772321.28594470,0
1744246200000000,82119.39000000,82222.89000000,82090.02000000,82200.00000000,129.92759000,1744246499999999,10673875.91988010,13429,94.51646000,7764570.79772370,0
1744246500000000,82200.00000000,82378.93000000,82190.24000000,82352.85000000,110.48986000,1744246799999999,9093711.06577820,11865,82.60791000,6798536.73173910,0
1744246800000000,82352.85000000,82499.98000000,82277.50000000,82353.24000000,160.56896000,1744247099999999,13229242.07112470,18325,117.45957000,9678330.44927460,0
1744247100000000,82353.24000000,82501.03000000,82328.98000000,82452.11000000,272.39809000,1744247399999999,22454154.87990120,15461,191.36192000,15772978.15735210,0
1744247400000000,82452.11000000,82600.00000000,82452.10000000,82487.66000000,168.95698000,1744247699999999,13947522.55497550,16665,108.71076000,8973772.07006710,0
1744247700000000,82487.66000000,82567.93000000,82430.18000000,82547.57000000,104.59433000,1744247999999999,8631461.96540460,11086,79.57586000,6567042.04291840,0
1744248000000000,82547.56000000,82565.22000000,82399.52000000,82406.96000000,139.13178000,1744248299999999,11479580.90017640,12162,83.46070000,6886123.56218980,0
1744248300000000,82406.97000000,82451.45000000,82356.48000000,82426.15000000,120.00375000,1744248599999999,9890324.71613680,11941,66.82854000,5507768.32519010,0
1744248600000000,82426.15000000,82439.87000000,82292.27000000,82292.28000000,121.56104000,1744248899999999,10012633.14771390,14293,67.95991000,5597148.86793370,0
1744248900000000,82292.27000000,82450.00000000,82292.27000000,82446.00000000,99.60762000,1744249199999999,8206431.15956150,12255,73.97536000,6094753.95036830,0
1744249200000000,82445.99000000,82467.44000000,82364.88000000,82380.00000000,147.22443000,1744249499999999,12133021.64896170,12403,76.70703000,6322544.33661930,0
1744249500000000,82380.01000000,82463.38000000,82379.25000000,82432.41000000,68.98967000,1744249799999999,5686956.82448060,7446,51.72476000,4263746.35678940,0
1744249800000000,82432.40000000,82434.79000000,82342.20000000,82343.99000000,25.89801000,1744250099999999,2133573.56141700,7807,9.46476000,779779.51290100,0
1744250100000000,82343.99000000,82347.72000000,82224.90000000,82249.29000000,42.76610000,1744250399999999,3518707.68718610,6126,11.45515000,942497.71328520,0
1744250400000000,82249.29000000,82377.62000000,82212.22000000,82304.52000000,80.44102000,1744250699999999,6619088.92356120,10319,55.87857000,4598094.56121500,0
1744250700000000,82304.52000000,82454.01000000,82249.93000000,82412.10000000,47.54393000,1744250999999999,3916070.42728290,8345,26.76043000,2203995.77887560,0
1744251000000000,82412.10000000,82535.03000000,82412.09000000,82510.28000000,64.02721000,1744251299999999,5281036.45260740,6614,40.84240000,3368895.06880430,0
1744251300000000,82510.27000000,82510.28000000,82418.01000000,82475.25000000,81.13465000,1744251599999999,6691189.63803140,10117,39.63676000,3268769.09051860,0
1744251600000000,82475.26000000,82565.19000000,82465.00000000,82557.65000000,120.94482000,1744251899999999,9979546.16570200,9152,80.39340000,6633211.57981090,0
1744251900000000,82557.66000000,82557.66000000,82434.78000000,82442.89000000,37.68812000,1744252199999999,3109380.09654110,6554,8.40108000,693134.86662070,0
1744252200000000,82442.89000000,82454.61000000,82340.00000000,82348.50000000,56.06859000,1744252499999999,4619540.15002760,7085,19.39988000,1598238.29058820,0
1744252500000000,82348.49000000,82434.79000000,82309.91000000,82426.40000000,24.44810000,1744252799999999,2013469.62951810,4676,10.23125000,842629.59760100,0
1744252800000000,82426.40000000,82478.27000000,82347.82000000,82355.58000000,26.54032000,1744253099999999,2187545.49998950,6225,10.68789000,880988.67140560,0
1744253100000000,82355.59000000,82355.59000000,82200.01000000,82291.60000000,71.48761000,1744253399999999,5881736.81009600,10926,43.81162000,3604450.76732850,0
1744253400000000,82291.60000000,82332.08000000,82206.03000000,82249.99000000,53.50292000,1744253699999999,4401468.27427650,7959,30.79947000,2533529.68417580,0
1744253700000000,82249.99000000,82272.75000000,82195.77000000,82200.00000000,208.00146000,1744253999999999,17105089.75762810,10439,155.13703000,12758029.74744280,0
1744254000000000,82201.24000000,82224.45000000,82058.69000000,82098.29000000,112.39872000,1744254299999999,9231765.16568300,11879,33.53946000,2754542.00062120,0
