open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp,body,body_pct,range,is_key_candle,sma_volume,price_range,avg_range,is_accumulation
1744243200000000,82615.22,82662.27,82532.44,82603.49,141.8207,1744243499999999,11712319.8005038,13534,74.82552,6178665.4846036,0,2025-04-10 00:00:00,11.729999999995925,0.014198352313285525,129.83000000000175,False,,129.83000000000175,,False
1744243500000000,82603.48,82753.21,82535.69,82535.7,141.69622,1744243799999999,11713781.7826917,11408,113.36022,9372308.7088555,0,2025-04-10 00:05:00,67.77999999999884,0.08205465435596519,217.52000000000407,False,,217.52000000000407,,False
1744243800000000,82535.7,82544.81,82457.55,82479.99,228.33253,1744244099999999,18836676.0545471,7966,69.02933,5693910.0614996,0,2025-04-10 00:10:00,55.70999999999185,0.06749806447390869,87.25999999999476,False,,87.25999999999476,,False
1744244100000000,82479.98,82616.79,82382.89,82463.98,95.196,1744244399999999,7851964.4649063,9227,36.74668,3031239.0639873,0,2025-04-10 00:15:00,16.0,0.019398646798895927,233.89999999999418,False,,233.89999999999418,,False
1744244400000000,82463.99,82463.99,82357.61,82387.59,67.28824,1744244699999999,5544345.9037337,8288,24.13524,1988333.1209752,0,2025-04-10 00:20:00,76.40000000000873,0.09264649939932415,106.38000000000466,False,,106.38000000000466,,False
1744244700000000,82387.58,82492.78,82351.54,82414.73,137.92254,1744244999999999,11366805.2229177,11701,89.47453,7374134.0173747,0,2025-04-10 00:25:00,27.14999999999418,0.03295399622126804,141.24000000000524,False,,141.24000000000524,,False
1744245000000000,82414.73,82484.94,82332.07,82448.05,130.58346,1744245299999999,10760918.3812147,16902,90.88955,7489715.9219042,0,2025-04-10 00:30:00,33.320000000006985,0.04042966591045919,152.86999999999534,False,,152.86999999999534,,False
1744245300000000,82448.05,82485.76,82277.04,82284.52,116.06036,1744245599999999,9558177.576577,18083,59.32876,4886155.2444545,0,2025-04-10 00:35:00,163.52999999999884,0.198343077853265,208.72000000000116,False,,208.72000000000116,,False
1744245600000000,82284.52,82284.66,82056.19,82147.83,228.01353,1744245899999999,18733251.0057664,20601,117.46937,9651451.5362465,0,2025-04-10 00:40:00,136.69000000000233,0.16611873047324371,228.47000000000116,False,,228.47000000000116,,False
1744245900000000,82147.84,82274.81,82096.0,82119.39,109.01604,1744246199999999,8959937.808389,17625,82.39888,6772321.2859447,0,2025-04-10 00:45:00,28.44999999999709,0.03463268176010117,178.80999999999767,False,,178.80999999999767,,False
1744246200000000,82119.39,82222.89,82090.02,82200.0,129.92759,1744246499999999,10673875.9198801,13429,94.51646,7764570.7977237,0,2025-04-10 00:50:00,80.61000000000058,0.09816195663411599,132.86999999999534,False,,132.86999999999534,,False
1744246500000000,82200.0,82378.93,82190.24,82352.85,110.48986,1744246799999999,9093711.0657782,11865,82.60791,6798536.7317391,0,2025-04-10 00:55:00,152.85000000000582,0.18594890510949613,188.68999999998778,False,,188.68999999998778,,False
1744246800000000,82352.85,82499.98,82277.5,82353.24,160.56896,1744247099999999,13229242.0711247,18325,117.45957,9678330.4492746,0,2025-04-10 01:00:00,0.3899999999994179,0.0004735719528825267,222.47999999999593,False,,222.47999999999593,,False
1744247100000000,82353.24,82501.03,82328.98,82452.11,272.39809,1744247399999999,22454154.8799012,15461,191.36192,15772978.1573521,0,2025-04-10 01:05:00,98.86999999999534,0.1200559929396771,172.0500000000029,False,,172.0500000000029,,False
1744247400000000,82452.11,82600.0,82452.1,82487.66,168.95698,1744247699999999,13947522.5549755,16665,108.71076,8973772.0700671,0,2025-04-10 01:10:00,35.55000000000291,0.0431159372392082,147.89999999999418,False,,147.89999999999418,,False
1744247700000000,82487.66,82567.93,82430.18,82547.57,104.59433,1744247999999999,8631461.9654046,11086,79.57586,6567042.0429184,0,2025-04-10 01:15:00,59.91000000000349,0.07262904536266818,137.75,False,,137.75,,False
1744248000000000,82547.56,82565.22,82399.52,82406.96,139.13178,1744248299999999,11479580.9001764,12162,83.4607,6886123.5621898,0,2025-04-10 01:20:00,140.59999999999127,0.17032605203593087,165.6999999999971,False,,165.6999999999971,,False
1744248300000000,82406.97,82451.45,82356.48,82426.15,120.00375,1744248599999999,9890324.7161368,11941,66.82854,5507768.3251901,0,2025-04-10 01:25:00,19.179999999993015,0.02327473028069472,94.97000000000116,False,,94.97000000000116,,False
1744248600000000,82426.15,82439.87,82292.27,82292.28,121.56104,1744248899999999,10012633.1477139,14293,67.95991,5597148.8679337,0,2025-04-10 01:30:00,133.86999999999534,0.16241205005935053,147.59999999999127,False,,147.59999999999127,,False
1744248900000000,82292.27,82450.0,82292.27,82446.0,99.60762,1744249199999999,8206431.1595615,12255,73.97536,6094753.9503683,0,2025-04-10 01:35:00,153.72999999999593,0.18680976961748158,157.72999999999593,False,141.158481,157.72999999999593,162.63699999999807,False
1744249200000000,82445.99,82467.44,82364.88,82380.0,147.22443,1744249499999999,12133021.6489617,12403,76.70703,6322544.3366193,0,2025-04-10 01:40:00,65.99000000000524,0.08004027849020338,102.55999999999767,False,141.42866750000002,102.55999999999767,161.27349999999788,True
1744249500000000,82380.01,82463.38,82379.25,82432.41,68.98967,1744249799999999,5686956.8244806,7446,51.72476,4263746.3567894,0,2025-04-10 01:45:00,52.40000000000873,0.06360766404375132,84.13000000000466,False,137.79334,84.13000000000466,154.6039999999979,False
