event_timestamp,candle_score,zone_score,trend_score,base_score,advanced_score,final_score,potential_score_long,potential_score_short
27,0.5108819638058968,0.0,1.4949999999999999,0.6765145891417689,0.5,0.6235602123992382,2.208268132732125,2.9557719932011133
31,0.37799957363601094,0.0,1.4949999999999999,0.6366498720908031,0.5,0.5956549104635621,0.9885542368170579,3.0428299733354254
39,0.6856562653306117,0.0,1.4949999999999999,0.7289468795991834,0.5,0.6602628157194284,4.21228565558431,2.206364627767324
42,1.0,0.0,1.4949999999999999,0.8232499999999998,0.5,0.7262749999999999,1.5812410335040665,3.5051134477389536
46,0.84,0.0,1.4949999999999999,0.7752499999999999,0.5,0.6926749999999999,4.076881784504539,3.010585056922542
48,0.92,0.0,0.9,0.591,0.3,0.5036999999999999,2.2258797357708975,2.699532814550787
49,0.7178273804084649,0.0,0.9,0.5303482141225395,0.3,0.46124374988577765,3.104177840037131,3.4918450853102247
51,0.5336407760890841,0.0,0.9,0.4750922328267252,0.3,0.4225645629787076,1.9278050736830799,3.4319829683431755
54,0.7943462411289635,0.0,1.4949999999999999,0.7615538723386889,0.5,0.6830877106370822,0.5223182511237905,3.554715357343758
58,0.4493969462454086,0.0,1.4949999999999999,0.6580690838736225,0.5,0.6106483587115357,0.8286098856424061,3.3164257787889304
65,0.41836026432963364,0.0,1.4949999999999999,0.64875807929889,0.5,0.604130655509223,3.5785318872842056,2.8591112921667374
69,0.45497865155785433,0.0,1.4949999999999999,0.6597435954673562,0.5,0.6118205168271493,0.8687481744623162,3.076793249634143
72,0.4326612985408752,0.0,1.4949999999999999,0.6530483895622624,0.5,0.6071338726935837,4.935951556400505,4.217057323814453
73,0.5341741178484196,0.0,1.4949999999999999,0.6835022353545257,0.5,0.628451564748168,0.9152492649992073,1.4823282017674613
81,0.2552162966724017,0.0,1.4949999999999999,0.5998148890017204,0.5,0.5698704223012042,2.7240375561285153,4.969237613371162
116,0.8549368958228818,0.0,0.81,0.5399810687468645,0.3,0.46798674812280505,3.8775140325960047,1.353331192239501
125,0.3361900429139687,0.0,1.4949999999999999,0.6241070128741905,0.5,0.5868749090119333,2.7207020100056725,1.6183514383899815
131,0.13712621373899722,0.0,1.1700000000000002,0.4506378641216992,0.3,0.4054465048851894,2.343352021758185,3.857804204548313
140,0.72,0.0,1.1700000000000002,0.6255000000000001,0.3,0.52785,2.255729624121421,3.584336623583036
141,0.42618843295642556,0.0,1.1700000000000002,0.5373565298869277,0.3,0.4661495709208494,3.063444460071571,2.750065911969989
142,0.4783076263374007,0.0,1.1700000000000002,0.5529922879012202,0.3,0.47709460153085415,2.9819388951676804,4.728657297284956
143,0.26310172124711106,0.0,1.1700000000000002,0.48843051637413337,0.3,0.4319013614618933,4.834866442083287,3.9794821077691935
146,0.42239599284218865,0.0,1.1700000000000002,0.5362187978526566,0.3,0.46535315849685954,1.320258987765278,0.6011623700252398
147,0.92,0.0,1.1700000000000002,0.6855,0.3,0.56985,2.59993800089763,1.8637748920950465
157,0.5690383393724971,0.0,1.4949999999999999,0.693961501811749,0.425,0.6132730512682243,2.9464400289728605,4.303235163523484
159,0.5482692337314129,0.0,1.1700000000000002,0.5739807701194239,0.375,0.5142865390835967,3.2139497674054844,4.86662811885846
163,0.92,0.0,1.1700000000000002,0.6855,0.375,0.5923499999999999,2.2523634879169054,1.3459309336860432
164,0.5134580161645632,0.0,1.4949999999999999,0.6772874048493689,0.5,0.6241011833945582,4.71328273398346,4.597149734670581
166,0.39301001959839793,0.0,1.4949999999999999,0.6411530058795193,0.5,0.5988071041156635,2.1447974137286376,4.137380446006584
167,0.7385644907812849,0.0,1.4949999999999999,0.7448193472343854,0.5,0.6713735430640697,2.0837676817172492,4.144949682396703
168,0.5448994793263087,0.0,1.4949999999999999,0.6867198437978925,0.5,0.6307038906585247,1.3429604860345594,2.6881720817769663
172,0.92,0.0,1.4949999999999999,0.7992499999999999,0.5,0.709475,1.1626488603701781,2.099382552575381
175,0.29276579619782017,0.0,1.1700000000000002,0.49732973885934606,0.375,0.4606308172015422,4.969452140024902,0.6210607671084575
177,0.2721009514174171,0.0,1.1700000000000002,0.49113028542522513,0.375,0.4562911997976576,4.331087995512389,2.5175259656894404
182,0.669851480337269,0.0,1.1700000000000002,0.6104554441011807,0.375,0.5398188108708264,4.557169221952817,3.6149025561200707
183,0.4632820340942301,0.0,1.4949999999999999,0.6622346102282689,0.5,0.6135642271597882,3.550876381735002,3.247338821274438
